Simulacion,Spot_Futuro
1,3725.6058205817626
2,3664.093673370303
3,3676.5198070737333
4,3692.4689193296695
5,3693.1657289074974
6,3646.9936409945817
7,3706.146264402154
8,3699.0979844520193
9,3649.7021494943015
10,3704.925854953568
11,3658.529727716312
12,3695.2801086708164
13,3678.0018981544636
14,3663.345308074483
15,3678.602349112622
16,3678.8888464886904
17,3670.456985418467
18,3695.507153176349
19,3621.9058370631205
20,3669.2126913120937
21,3683.227228108907
22,3656.669570211239
23,3720.8659308046754
24,3673.4463463558277
25,3669.9145414622426
26,3673.7519821915325
27,3726.7377829408038
28,3692.7359618686487
29,3656.1556146957537
30,3680.01910953144
31,3673.280747814083
32,3714.4025949598513
33,3694.1269326415963
34,3669.034422836196
35,3679.507320582464
36,3712.592371920278
37,3717.5430217510448
38,3699.4866395568824
39,3646.009047119831
40,3693.327965832265
41,3718.673142364337
42,3716.6703031047377
43,3667.8460793329923
44,3670.4961530008827
45,3688.468718996135
46,3680.7217349649513
47,3681.183132297824
48,3680.4452996232208
49,3696.987490533473
50,3686.041022489928
51,3689.5183860509383
52,3705.2085256334353
53,3677.849573273425
54,3721.893505309616
55,3739.2773001846776
56,3680.841014329384
57,3681.5229326781932
58,3713.5285800528154
59,3679.618328768626
60,3765.3591302816767
61,3694.687366932972
62,3665.4145864823827
63,3642.0038315115203
64,3712.1823770372343
65,3710.2036138839867
66,3697.7405658847133
67,3632.1527555729604
68,3688.3056500473276
69,3710.3117180383347
70,3675.2175491203916
71,3679.2847298105785
72,3703.620972533155
73,3716.1172284569507
74,3692.6694362125254
75,3714.885757806042
76,3663.9679603830173
77,3632.0765573681056
78,3683.6119985789333
79,3705.169381857824
80,3684.640532205318
81,3637.6436074816766
82,3689.13956135627
83,3724.877917063576
84,3696.497540554569
85,3719.2008698881
86,3692.0028752579115
87,3712.589013059194
88,3669.621766850185
89,3704.488378597811
90,3670.4044858670513
91,3669.37491869985
92,3673.7128112919854
93,3688.5335694992427
94,3677.420148820349
95,3673.8250350722933
96,3708.7239026187312
97,3662.9971453138296
98,3641.131095951338
99,3654.326044509576
100,3662.5998936173664
101,3703.0454374354213
102,3709.1851225838914
103,3700.4689229380583
104,3694.923558809442
105,3682.5021819956746
106,3677.0373858687326
107,3661.7343066514386
108,3613.1269604194235
109,3673.0200997307647
110,3734.4754080071702
111,3724.718621590924
112,3693.01970565893
113,3695.7270186610544
114,3702.5536622508935
115,3688.4286472301196
116,3699.1671596911738
117,3674.1518069513795
118,3710.659175144446
119,3668.408047368826
120,3742.2536096536624
121,3655.77979968004
122,3695.0267047870007
123,3660.1487281136183
124,3628.9775609210324
125,3713.8641151822203
126,3757.2663048161735
127,3663.0891171964213
128,3684.7057329527665
129,3673.5230968300266
130,3683.3833076436777
131,3696.7825842895986
132,3679.1022630231355
133,3728.646014764377
134,3656.1055583129546
135,3665.7603462389784
136,3647.9972760249643
137,3673.304359459897
138,3674.663699085825
139,3696.5028616288814
140,3707.293525317306
141,3676.2174936426136
142,3710.1990397617346
143,3669.5228872561665
144,3709.372202149927
145,3642.2966593961387
146,3686.9550273975333
147,3698.949561410307
148,3752.5350942889913
149,3645.7177144276147
150,3682.9017893198106
151,3709.5281108430563
152,3650.515589509186
153,3718.0443949760756
154,3670.9536263334267
155,3750.43114130002
156,3642.8215072445946
157,3670.849048136615
158,3668.3635425854895
159,3672.162407976619
160,3696.6721819902914
161,3655.4567343888566
162,3683.7803610564997
163,3682.096005095929
164,3697.1501822614014
165,3743.380219320236
166,3697.0996847429624
167,3708.5904709612223
168,3608.542313144166
169,3727.180232160579
170,3684.536022937737
171,3696.1505060145446
172,3660.700807564519
173,3679.2595241332324
174,3693.756578623109
175,3709.4078042817473
176,3738.6872842873577
177,3641.494715701776
178,3643.554511278725
179,3675.266168142822
180,3676.5257497146217
181,3648.8623754399905
182,3709.1562228194543
183,3676.855032685407
184,3709.110487741795
185,3688.7504682083
186,3670.3027954952317
187,3714.8762016069422
188,3719.4339432239
189,3704.716656107784
190,3687.086233710321
191,3674.6097193049304
192,3664.8936360768876
193,3696.9351465474356
194,3665.5895816798743
195,3674.021352502882
196,3677.4749792415446
197,3715.0123217202627
198,3668.0642038774913
199,3696.1854435325045
200,3667.188538034816
201,3675.095022197166
202,3690.5376170011186
203,3645.049339323749
204,3687.861269914694
205,3697.079289992737
206,3742.3861797570266
207,3702.5046867067804
208,3706.2479465242286
209,3652.4874359080436
210,3682.5425674672874
211,3645.9912180551246
212,3651.039620557651
213,3681.6766527388972
214,3693.98334741839
215,3739.4406190278305
216,3692.4462530759183
217,3660.014614080898
218,3649.6214546727792
219,3675.6597812107198
220,3689.336087800908
221,3677.1896990218897
222,3700.443075505387
223,3713.8402380165753
224,3696.5804490877517
225,3714.708139565809
226,3700.0086636300116
227,3664.7310673483616
228,3659.845104347726
229,3677.8756639029584
230,3751.1468152308958
231,3672.0223565010374
232,3729.7476554020927
233,3719.438814920963
234,3673.8240957597063
235,3717.4971512032735
236,3698.772153026359
237,3655.140317999293
238,3678.927130234742
239,3676.4486372049228
240,3685.776244960738
241,3670.135119446572
242,3693.565535412168
243,3659.7951435609602
244,3702.770382598686
245,3716.429136822961
246,3733.129318591642
247,3702.374935611721
248,3689.4078354006742
249,3667.748025737862
250,3721.805431963355
251,3639.7211257117674
252,3685.2067718595317
253,3660.295275927215
254,3685.4573287929834
255,3686.348649000079
256,3662.150197802414
257,3697.0858782384835
258,3691.5077841586913
259,3716.453278393579
260,3704.1820009127127
261,3696.3396934248226
262,3667.7808877503244
263,3697.283220154162
264,3680.6575938031756
265,3692.4950771384333
266,3709.5241240392397
267,3663.665149418106
268,3705.098036052832
269,3710.1712841335393
270,3675.952517588623
271,3688.5843609765316
272,3702.243111095779
273,3686.4392197562797
274,3643.574476984898
275,3694.3448035592246
276,3686.570405855349
277,3677.612528381819
278,3641.533583366732
279,3705.7717770786076
280,3702.2667611337415
281,3687.8697082340686
282,3698.6624695932987
283,3636.225077448558
284,3721.870373155729
285,3682.984042252119
286,3634.621214306803
287,3668.3646559996796
288,3687.3766519646642
289,3703.551858557136
290,3712.1141334263953
291,3609.2891172072746
292,3725.5998834260913
293,3687.3039607432124
294,3673.5221050487635
295,3745.983886345563
296,3685.2318330765693
297,3651.9427696538637
298,3714.6741358577547
299,3701.5267002339842
300,3683.1133011223624
301,3767.3152580671017
302,3750.312744930323
303,3654.564406986251
304,3678.370718893896
305,3697.3849863809733
306,3688.7009435978034
307,3676.5041721620123
308,3669.0678421696944
309,3688.6731089136347
310,3693.1481640227307
311,3720.4568790244534
312,3665.7984167447808
313,3650.9168176039057
314,3691.5733890436904
315,3697.24836609164
316,3654.35307108455
317,3692.5000282180736
318,3729.3313838285153
319,3677.351664758294
320,3660.573927191227
321,3701.6289156148946
322,3691.548190274413
323,3676.002641231758
324,3668.4666014258314
325,3674.012924708932
326,3703.2039454024393
327,3678.260258697712
328,3689.282304956389
329,3674.612829636073
330,3713.130101616127
331,3691.6080648356733
332,3711.688072776096
333,3606.734776587415
334,3689.9438600827775
335,3695.824643496704
336,3677.014778335949
337,3708.535713862501
338,3707.897152244866
339,3676.9654184593833
340,3674.6995643583527
341,3704.4924907000354
342,3651.97062546014
343,3613.639098266262
344,3696.9940365615057
345,3716.5693838304733
346,3690.5767895118793
347,3708.6880760781473
348,3645.361058569893
349,3678.472926724541
350,3615.2164496155197
351,3641.4697306891057
352,3671.9523702643646
353,3695.8807175867796
354,3667.23832775722
355,3657.131049883333
356,3692.8939154213367
357,3675.0549509371517
358,3685.031934446195
359,3664.5301931957783
360,3647.152361180077
361,3651.0919127122506
362,3681.457536203561
363,3711.2462111744385
364,3705.2195237243213
365,3656.373449197008
366,3695.3197920543544
367,3690.1049936147865
368,3698.7953873099823
369,3654.484200826651
370,3686.725876962784
371,3660.977296192577
372,3687.8987812898827
373,3660.218937258125
374,3725.56739709602
375,3699.3961857017034
376,3704.1209876541557
377,3721.5429019331164
378,3668.058201636943
379,3649.449035105158
380,3675.528550091733
381,3682.0947656089984
382,3721.0613188038005
383,3680.224660939389
384,3674.765877852184
385,3714.9073391914612
386,3647.975411847332
387,3679.367692031695
388,3689.6151205026645
389,3696.7472938524857
390,3681.440184530053
391,3694.235101518376
392,3661.4371838934185
393,3662.5023125802063
394,3667.254828225979
395,3616.374816244066
396,3684.914484345909
397,3667.9833727526466
398,3697.723196049215
399,3655.0551414030447
400,3670.0632024758515
401,3672.573940917683
402,3608.9736893578397
403,3704.9637102734396
404,3725.0375385275893
405,3689.780604244641
406,3670.518550847302
407,3695.3927684145374
408,3724.9950152033084
409,3626.301802568827
410,3662.897897364477
411,3646.9997811530457
412,3699.2725110075903
413,3660.1533599190498
414,3650.569926628003
415,3671.224785088916
416,3705.3041225752477
417,3635.3052087796113
418,3685.2622370533663
419,3674.194984024526
420,3693.7607991646328
421,3779.695324298717
422,3651.51259430839
423,3693.116943563228
424,3671.6888615514663
425,3736.578175497971
426,3673.095616736184
427,3672.8381002369474
428,3724.1485832251515
429,3675.8036903421644
430,3644.9074387262444
431,3698.9839575632504
432,3643.0444267692546
433,3678.563743095066
434,3697.395669052295
435,3737.7289373745134
436,3679.8134211397287
437,3653.4694248568376
438,3664.034857394219
439,3665.3117817953143
440,3682.5920202490042
441,3701.7093398147417
442,3661.777892945088
443,3662.776127984414
444,3716.0448402629527
445,3713.756199179526
446,3725.9744462167832
447,3712.8365809051384
448,3686.753949650399
449,3704.6285522966523
450,3706.124253043823
451,3657.6004559327284
452,3708.2646818306357
453,3696.208520720706
454,3686.9983853534145
455,3683.8453851593104
456,3679.086048840207
457,3672.309581556843
458,3679.3372354722133
459,3686.521395839558
460,3695.3101608777165
461,3703.33599753695
462,3677.0881916047824
