Periodo,TRM_Proyectada
1,3814.5686552818734
2,3846.051435492953
3,4001.6411415538037
4,4311.887557502158
5,4330.831784624767
6,4349.862099586985
7,4697.65127916882
8,4911.159404232728
9,4886.5233033146715
10,5062.869773509734
11,5038.6932049633215
12,5014.168342133741
13,5133.029673318917
14,4820.6793141002
15,4561.575833575779
16,4521.874590134228
17,4402.459646849856
18,4519.870254554058
19,4418.995136972815
20,4234.097403869265
21,4551.906373360481
22,4573.437344560048
23,4649.297832985959
24,4452.546933639844
25,4416.956870388434
26,4498.022571739667
27,4355.10242338184
28,4482.254019865201
29,4436.432230513004
30,4445.679615904621
31,4400.043764078622
32,4804.032236960442
33,4867.915056681306
34,4730.861345126194
35,4956.793624233727
36,4785.905953573433
37,4892.874107016335
38,4586.6186627822435
39,4409.519099866062
40,4505.910977134773
